"ROUND","SEX","AGEYRS","SENS_M","SPEC_M"
"R015","M",34,0.849632653061224,0.983636363636364
"R015","M",35,0.843428571428571,0.98
"R015","M",36,0.837224489795918,0.976363636363636
"R015","M",37,0.831020408163265,0.972727272727273
"R015","M",38,0.824816326530612,0.969090909090909
"R015","M",39,0.818612244897959,0.965454545454545
"R015","M",40,0.812408163265306,0.961818181818182
"R015","M",41,0.806204081632653,0.958181818181818
"R015","M",42,0.8,0.954545454545455
"R015","M",43,0.8,0.954545454545455
"R015","M",44,0.8,0.954545454545455
"R015","M",45,0.8,0.954545454545455
"R015","M",46,0.8,0.954545454545455
"R015","M",47,0.8,0.954545454545455
"R015","M",48,0.8,0.954545454545455
"R015","M",49,0.8,0.954545454545455
"R016","F",15,0.790322580645161,0.815384615384615
"R016","F",16,0.790322580645161,0.815384615384615
"R016","F",17,0.790322580645161,0.815384615384615
"R016","F",18,0.790322580645161,0.815384615384615
"R016","F",19,0.790322580645161,0.815384615384615
"R016","F",20,0.78919930875576,0.81889019377569
"R016","F",21,0.786952764976959,0.825901350557839
"R016","F",22,0.784706221198157,0.832912507339988
"R016","F",23,0.782459677419355,0.839923664122137
"R016","F",24,0.780213133640553,0.846934820904287
"R016","F",25,0.777966589861751,0.853945977686436
"R016","F",26,0.775720046082949,0.860957134468585
"R016","F",27,0.773473502304147,0.867968291250734
"R016","F",28,0.771226958525346,0.874979448032883
"R016","F",29,0.768980414746544,0.881990604815032
"R016","F",30,0.766718614718615,0.888097169211196
"R016","F",31,0.764441558441558,0.893299141221374
"R016","F",32,0.762164502164502,0.898501113231552
"R016","F",33,0.759887445887446,0.90370308524173
"R016","F",34,0.75761038961039,0.908905057251908
"R016","F",35,0.755333333333333,0.914107029262087
"R016","F",36,0.753056277056277,0.919309001272265
"R016","F",37,0.750779220779221,0.924510973282443
"R016","F",38,0.748502164502165,0.929712945292621
"R016","F",39,0.746225108225108,0.934914917302799
"R016","F",40,0.743948051948052,0.940116889312977
"R016","F",41,0.741670995670996,0.945318861323155
"R016","F",42,0.739393939393939,0.950520833333333
"R016","F",43,0.739393939393939,0.950520833333333
"R016","F",44,0.739393939393939,0.950520833333333
"R016","F",45,0.739393939393939,0.950520833333333
"R016","F",46,0.739393939393939,0.950520833333333
"R016","F",47,0.739393939393939,0.950520833333333
"R016","F",48,0.739393939393939,0.950520833333333
"R016","F",49,0.739393939393939,0.950520833333333
"R016","M",15,0.891891891891892,0.7
"R016","M",16,0.891891891891892,0.7
"R016","M",17,0.891891891891892,0.7
"R016","M",18,0.891891891891892,0.7
"R016","M",19,0.891891891891892,0.7
"R016","M",20,0.892819685356999,0.707948717948718
"R016","M",21,0.894675272287213,0.723846153846154
"R016","M",22,0.896530859217426,0.73974358974359
"R016","M",23,0.89838644614764,0.755641025641026
"R016","M",24,0.900242033077854,0.771538461538462
"R016","M",25,0.902097620008068,0.787435897435897
"R016","M",26,0.903953206938282,0.803333333333333
"R016","M",27,0.905808793868495,0.819230769230769
"R016","M",28,0.907664380798709,0.835128205128205
"R016","M",29,0.909519967728923,0.851025641025641
"R016","M",30,0.906682911970758,0.859992269037495
"R016","M",31,0.899153213524216,0.862028089163767
"R016","M",32,0.891623515077673,0.86406390929004
"R016","M",33,0.88409381663113,0.866099729416312
"R016","M",34,0.876564118184587,0.868135549542585
"R016","M",35,0.869034419738044,0.870171369668857
"R016","M",36,0.861504721291502,0.872207189795129
"R016","M",37,0.853975022844959,0.874243009921402
"R016","M",38,0.846445324398416,0.876278830047674
"R016","M",39,0.838915625951873,0.878314650173947
"R016","M",40,0.83138592750533,0.880350470300219
"R016","M",41,0.823856229058788,0.882386290426492
"R016","M",42,0.816326530612245,0.884422110552764
"R016","M",43,0.816326530612245,0.884422110552764
"R016","M",44,0.816326530612245,0.884422110552764
"R016","M",45,0.816326530612245,0.884422110552764
"R016","M",46,0.816326530612245,0.884422110552764
"R016","M",47,0.816326530612245,0.884422110552764
"R016","M",48,0.816326530612245,0.884422110552764
"R016","M",49,0.816326530612245,0.884422110552764
"R017","F",15,0.797872340425532,0.809090909090909
"R017","F",16,0.797872340425532,0.809090909090909
"R017","F",17,0.797872340425532,0.809090909090909
"R017","F",18,0.797872340425532,0.809090909090909
"R017","F",19,0.797872340425532,0.809090909090909
"R017","F",20,0.792353723404255,0.813080808080808
"R017","F",21,0.781316489361702,0.821060606060606
"R017","F",22,0.770279255319149,0.829040404040404
"R017","F",23,0.759242021276596,0.837020202020202
"R017","F",24,0.748204787234042,0.845
"R017","F",25,0.737167553191489,0.852979797979798
"R017","F",26,0.726130319148936,0.860959595959596
"R017","F",27,0.715093085106383,0.868939393939394
"R017","F",28,0.70405585106383,0.876919191919192
"R017","F",29,0.693018617021277,0.88489898989899
"R017","F",30,0.683333333333333,0.891389408099688
"R017","F",31,0.675,0.896390446521288
"R017","F",32,0.666666666666667,0.901391484942887
"R017","F",33,0.658333333333333,0.906392523364486
"R017","F",34,0.65,0.911393561786085
"R017","F",35,0.641666666666667,0.916394600207684
"R017","F",36,0.633333333333333,0.921395638629283
"R017","F",37,0.625,0.926396677050883
"R017","F",38,0.616666666666667,0.931397715472482
"R017","F",39,0.608333333333333,0.936398753894081
"R017","F",40,0.6,0.94139979231568
"R017","F",41,0.591666666666667,0.946400830737279
"R017","F",42,0.583333333333333,0.951401869158878
"R017","F",43,0.583333333333333,0.951401869158878
