"ROUND","SEX","AGEYRS","SENS_M","SPEC_M"
"R017","F",37,0.529214659685864,0.947365942272758
"R017","F",38,0.516705061082024,0.951525712619704
"R017","F",39,0.504195462478185,0.955685482966651
"R017","F",40,0.491685863874346,0.959845253313598
"R017","F",41,0.479176265270506,0.964005023660544
"R017","F",42,0.466666666666667,0.968164794007491
"R017","F",43,0.466666666666667,0.968164794007491
"R017","F",44,0.466666666666667,0.968164794007491
"R017","F",45,0.466666666666667,0.968164794007491
"R017","F",46,0.466666666666667,0.968164794007491
"R017","F",47,0.466666666666667,0.968164794007491
"R017","F",48,0.466666666666667,0.968164794007491
"R017","F",49,0.466666666666667,0.968164794007491
"R017","M",15,0.888888888888889,0.846153846153846
"R017","M",16,0.888888888888889,0.846153846153846
"R017","M",17,0.888888888888889,0.846153846153846
"R017","M",18,0.888888888888889,0.846153846153846
"R017","M",19,0.888888888888889,0.846153846153846
"R017","M",20,0.885038503850385,0.84956043956044
"R017","M",21,0.877337733773377,0.856373626373626
"R017","M",22,0.86963696369637,0.863186813186813
"R017","M",23,0.861936193619362,0.87
"R017","M",24,0.854235423542354,0.876813186813187
"R017","M",25,0.846534653465347,0.883626373626374
"R017","M",26,0.838833883388339,0.89043956043956
"R017","M",27,0.831133113311331,0.897252747252747
"R017","M",28,0.823432343234323,0.904065934065934
"R017","M",29,0.815731573157316,0.910879120879121
"R017","M",30,0.806813348001467,0.914857142857143
"R017","M",31,0.796677667766777,0.916
"R017","M",32,0.786541987532087,0.917142857142857
"R017","M",33,0.776406307297396,0.918285714285714
"R017","M",34,0.766270627062706,0.919428571428571
"R017","M",35,0.756134946828016,0.920571428571429
"R017","M",36,0.745999266593326,0.921714285714286
"R017","M",37,0.735863586358636,0.922857142857143
"R017","M",38,0.725727906123946,0.924
"R017","M",39,0.715592225889256,0.925142857142857
"R017","M",40,0.705456545654566,0.926285714285714
"R017","M",41,0.695320865419875,0.927428571428571
"R017","M",42,0.685185185185185,0.928571428571429
"R017","M",43,0.685185185185185,0.928571428571429
"R017","M",44,0.685185185185185,0.928571428571429
"R017","M",45,0.685185185185185,0.928571428571429
"R017","M",46,0.685185185185185,0.928571428571429
"R017","M",47,0.685185185185185,0.928571428571429
"R017","M",48,0.685185185185185,0.928571428571429
"R017","M",49,0.685185185185185,0.928571428571429
"R018","F",15,0.722222222222222,0.873563218390805
"R018","F",16,0.722222222222222,0.873563218390805
"R018","F",17,0.722222222222222,0.873563218390805
"R018","F",18,0.722222222222222,0.873563218390805
"R018","F",19,0.722222222222222,0.873563218390805
"R018","F",20,0.715421455938697,0.875926113189739
"R018","F",21,0.701819923371647,0.880651902787609
"R018","F",22,0.688218390804598,0.885377692385479
"R018","F",23,0.674616858237548,0.890103481983349
"R018","F",24,0.661015325670498,0.894829271581218
"R018","F",25,0.647413793103448,0.899555061179088
"R018","F",26,0.633812260536398,0.904280850776958
"R018","F",27,0.620210727969349,0.909006640374827
"R018","F",28,0.606609195402299,0.913732429972697
"R018","F",29,0.593007662835249,0.918458219570567
"R018","F",30,0.580596458527493,0.9229555675572
"R018","F",31,0.569375582479031,0.927224473932597
"R018","F",32,0.558154706430568,0.931493380307994
"R018","F",33,0.546933830382106,0.93576228668339
"R018","F",34,0.535712954333644,0.940031193058787
"R018","F",35,0.524492078285182,0.944300099434184
"R018","F",36,0.513271202236719,0.948569005809581
"R018","F",37,0.502050326188257,0.952837912184978
"R018","F",38,0.490829450139795,0.957106818560375
"R018","F",39,0.479608574091333,0.961375724935772
"R018","F",40,0.46838769804287,0.965644631311168
"R018","F",41,0.457166821994408,0.969913537686565
"R018","F",42,0.445945945945946,0.974182444061962
"R018","F",43,0.445945945945946,0.974182444061962
"R018","F",44,0.445945945945946,0.974182444061962
"R018","F",45,0.445945945945946,0.974182444061962
"R018","F",46,0.445945945945946,0.974182444061962
"R018","F",47,0.445945945945946,0.974182444061962
"R018","F",48,0.445945945945946,0.974182444061962
"R018","F",49,0.445945945945946,0.974182444061962
"R018","M",15,0.952380952380952,0.733333333333333
"R018","M",16,0.952380952380952,0.733333333333333
"R018","M",17,0.952380952380952,0.733333333333333
"R018","M",18,0.952380952380952,0.733333333333333
"R018","M",19,0.952380952380952,0.733333333333333
"R018","M",20,0.945268233875829,0.74
"R018","M",21,0.931042796865582,0.753333333333333
"R018","M",22,0.916817359855335,0.766666666666667
"R018","M",23,0.902591922845087,0.78
"R018","M",24,0.88836648583484,0.793333333333333
"R018","M",25,0.874141048824593,0.806666666666667
"R018","M",26,0.859915611814346,0.82
"R018","M",27,0.845690174804099,0.833333333333333
"R018","M",28,0.831464737793852,0.846666666666667
"R018","M",29,0.817239300783605,0.86
"R018","M",30,0.808169280181372,0.869808219178082
"R018","M",31,0.804254675987153,0.876091324200913
"R018","M",32,0.800340071792934,0.882374429223744
"R018","M",33,0.796425467598715,0.888657534246575
"R018","M",34,0.792510863404497,0.894940639269406
"R018","M",35,0.788596259210278,0.901223744292238
"R018","M",36,0.784681655016059,0.907506849315069
"R018","M",37,0.78076705082184,0.9137899543379
"R018","M",38,0.776852446627621,0.920073059360731
"R018","M",39,0.772937842433403,0.926356164383562
"R018","M",40,0.769023238239184,0.932639269406393
"R018","M",41,0.765108634044965,0.938922374429224
"R018","M",42,0.761194029850746,0.945205479452055
"R018","M",43,0.761194029850746,0.945205479452055
"R018","M",44,0.761194029850746,0.945205479452055
"R018","M",45,0.761194029850746,0.945205479452055
"R018","M",46,0.761194029850746,0.945205479452055
"R018","M",47,0.761194029850746,0.945205479452055
"R018","M",48,0.761194029850746,0.945205479452055
"R018","M",49,0.761194029850746,0.945205479452055
