"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
18,"inland","M",45,17,2,0,0,0,1,31,488,2,1,0
15,"fishing","F",45,9,9,3,0,1,0,31,489,6,0.666666666666667,0.333333333333333
16,"fishing","F",45,5,0,0,0,1,0,31,490,0,NA,NA
17,"fishing","F",45,2,2,1,0,1,0,31,491,1,0.5,0.5
18,"fishing","F",45,4,1,0,0,1,0,31,492,1,1,0
15,"inland","F",45,0,0,0,0,0,0,31,493,0,NA,NA
16,"inland","F",45,24,5,2,0,0,0,31,494,3,0.6,0.4
17,"inland","F",45,17,5,0,0,0,0,31,495,5,1,0
18,"inland","F",45,9,3,2,0,0,0,31,496,1,0.333333333333333,0.666666666666667
15,"fishing","M",46,5,5,4,0,1,1,32,497,1,0.2,0.8
16,"fishing","M",46,2,0,0,0,1,1,32,498,0,NA,NA
17,"fishing","M",46,5,0,0,0,1,1,32,499,0,NA,NA
18,"fishing","M",46,8,3,1,0,1,1,32,500,2,0.666666666666667,0.333333333333333
15,"inland","M",46,0,0,0,0,0,1,32,501,0,NA,NA
16,"inland","M",46,24,3,2,0,0,1,32,502,1,0.333333333333333,0.666666666666667
17,"inland","M",46,16,2,0,0,0,1,32,503,2,1,0
18,"inland","M",46,18,3,2,0,0,1,32,504,1,0.333333333333333,0.666666666666667
15,"fishing","F",46,4,4,4,0,1,0,32,505,0,0,1
16,"fishing","F",46,0,0,0,0,1,0,32,506,0,NA,NA
17,"fishing","F",46,3,0,0,0,1,0,32,507,0,NA,NA
18,"fishing","F",46,1,0,0,0,1,0,32,508,0,NA,NA
15,"inland","F",46,2,2,1,0,0,0,32,509,1,0.5,0.5
16,"inland","F",46,11,5,0,0,0,0,32,510,5,1,0
17,"inland","F",46,6,0,0,0,0,0,32,511,0,NA,NA
18,"inland","F",46,11,1,0,0,0,0,32,512,1,1,0
15,"fishing","M",47,5,5,1,0,1,1,33,513,4,0.8,0.2
16,"fishing","M",47,6,0,0,0,1,1,33,514,0,NA,NA
17,"fishing","M",47,5,1,0,0,1,1,33,515,1,1,0
18,"fishing","M",47,5,0,0,0,1,1,33,516,0,NA,NA
15,"inland","M",47,0,0,0,0,0,1,33,517,0,NA,NA
16,"inland","M",47,12,2,0,0,0,1,33,518,2,1,0
17,"inland","M",47,19,5,3,0,0,1,33,519,2,0.4,0.6
18,"inland","M",47,15,1,0,0,0,1,33,520,1,1,0
15,"fishing","F",47,6,6,0,0,1,0,33,521,6,1,0
16,"fishing","F",47,1,1,0,0,1,0,33,522,1,1,0
17,"fishing","F",47,1,0,0,0,1,0,33,523,0,NA,NA
18,"fishing","F",47,2,1,1,0,1,0,33,524,0,0,1
15,"inland","F",47,0,0,0,0,0,0,33,525,0,NA,NA
16,"inland","F",47,14,5,3,0,0,0,33,526,2,0.4,0.6
17,"inland","F",47,9,2,0,0,0,0,33,527,2,1,0
18,"inland","F",47,7,2,0,0,0,0,33,528,2,1,0
15,"fishing","M",48,6,6,3,0,1,1,34,529,3,0.5,0.5
16,"fishing","M",48,1,0,0,0,1,1,34,530,0,NA,NA
17,"fishing","M",48,6,1,0,0,1,1,34,531,1,1,0
18,"fishing","M",48,7,2,1,0,1,1,34,532,1,0.5,0.5
15,"inland","M",48,0,0,0,0,0,1,34,533,0,NA,NA
16,"inland","M",48,16,5,3,0,0,1,34,534,2,0.4,0.6
17,"inland","M",48,6,0,0,0,0,1,34,535,0,NA,NA
18,"inland","M",48,3,0,0,0,0,1,34,536,0,NA,NA
15,"fishing","F",48,2,2,0,0,1,0,34,537,2,1,0
16,"fishing","F",48,1,0,0,0,1,0,34,538,0,NA,NA
17,"fishing","F",48,0,0,0,0,1,0,34,539,0,NA,NA
18,"fishing","F",48,0,0,0,0,1,0,34,540,0,NA,NA
15,"inland","F",48,0,0,0,0,0,0,34,541,0,NA,NA
16,"inland","F",48,15,4,0,0,0,0,34,542,4,1,0
17,"inland","F",48,5,2,0,0,0,0,34,543,2,1,0
18,"inland","F",48,3,1,0,0,0,0,34,544,1,1,0
15,"fishing","M",49,3,3,2,0,1,1,35,545,1,0.333333333333333,0.666666666666667
16,"fishing","M",49,3,1,0,0,1,1,35,546,1,1,0
17,"fishing","M",49,0,0,0,0,1,1,35,547,0,NA,NA
18,"fishing","M",49,2,0,0,0,1,1,35,548,0,NA,NA
15,"inland","M",49,1,1,1,0,0,1,35,549,0,0,1
16,"inland","M",49,12,1,1,0,0,1,35,550,0,0,1
17,"inland","M",49,4,0,0,0,0,1,35,551,0,NA,NA
18,"inland","M",49,7,1,0,0,0,1,35,552,1,1,0
15,"fishing","F",49,4,4,0,0,1,0,35,553,4,1,0
16,"fishing","F",49,2,1,0,0,1,0,35,554,1,1,0
17,"fishing","F",49,0,0,0,0,1,0,35,555,0,NA,NA
18,"fishing","F",49,1,0,0,0,1,0,35,556,0,NA,NA
15,"inland","F",49,1,1,1,0,0,0,35,557,0,0,1
16,"inland","F",49,5,2,0,0,0,0,35,558,2,1,0
17,"inland","F",49,2,2,0,0,0,0,35,559,2,1,0
18,"inland","F",49,4,1,0,0,0,0,35,560,1,1,0
