"AGEYRS","ROUND","SEX","COMM","PARTICIPANT","PARTICIPATION"
30,"17","F","inland",261,0.786724504299007
30,"17","M","fishing",76,0.539767666874412
30,"17","M","inland",191,0.593708563488209
30,"18","F","fishing",111,0.691967896490679
30,"18","F","inland",275,0.758767469185129
30,"18","M","fishing",148,0.595803606054109
30,"18","M","inland",183,0.609314071063633
31,"06","F","inland",106,0.839432307638867
31,"06","M","inland",108,0.683820492388405
31,"07","F","inland",111,0.839143157927801
31,"07","M","inland",136,0.685394966236835
31,"08","F","inland",157,0.844494503369092
31,"08","M","inland",147,0.707905477847073
31,"09","F","inland",131,0.832288376036061
31,"09","M","inland",92,0.628456709143429
31,"10","F","inland",137,0.811150807566776
31,"10","M","inland",130,0.616404552487638
31,"11","F","inland",157,0.873237731600865
31,"11","M","inland",131,0.64628603215341
31,"12","F","inland",184,0.848102614025415
31,"12","M","inland",143,0.589152377914441
31,"13","F","inland",207,0.843253769813169
31,"13","M","inland",115,0.615905197436566
31,"14","F","inland",235,0.830364276694619
31,"14","M","inland",150,0.619022408461246
31,"15","F","fishing",66,0.831238231789088
31,"15","F","inland",260,0.804332007100828
31,"15","M","fishing",77,0.667136954275964
31,"15","M","inland",187,0.603763013133787
31,"15S","F","fishing",51,0.739487128188147
31,"15S","M","fishing",68,0.615791564461558
31,"16","F","fishing",71,0.726053841877485
31,"16","F","inland",269,0.781029244659687
31,"16","M","fishing",91,0.574343582301035
31,"16","M","inland",176,0.575357062915428
31,"17","F","fishing",83,0.689534560448602
31,"17","F","inland",288,0.79461025307732
31,"17","M","fishing",109,0.546944465233337
31,"17","M","inland",179,0.602834429395813
31,"18","F","fishing",88,0.700838045413387
31,"18","F","inland",248,0.770384326402327
31,"18","M","fishing",101,0.6023652299053
31,"18","M","inland",203,0.608176251742016
32,"06","F","inland",110,0.841213095053479
32,"06","M","inland",111,0.685364150060655
32,"07","F","inland",108,0.833982667734221
32,"07","M","inland",118,0.683035831096067
32,"08","F","inland",127,0.843404647679589
32,"08","M","inland",147,0.71216970201648
32,"09","F","inland",116,0.83530236144828
