"Sex","round_label","age","incidence","lb","ub"
"Female",12,25,0.0161808441007871,0.0131807793523517,0.0199025225433023
"Female",12,26,0.0157176463153173,0.0128342184681208,0.0192800774282714
"Female",12,27,0.015093819641216,0.0123791658648067,0.0185116826005717
"Female",12,28,0.014401081291574,0.0117207753007909,0.01772133118566
"Female",12,29,0.0137054727289862,0.0110389195922994,0.0170398046405414
"Female",12,30,0.0130805693305473,0.0103766509848626,0.0165283827969634
"Female",12,31,0.0125688899712897,0.00981866526381555,0.0161023985244175
"Female",12,32,0.0121572026796624,0.00943708004830612,0.0157325136661463
"Female",12,33,0.0118774007761977,0.0091681625134099,0.015493735442834
"Female",12,34,0.0116384006430128,0.00896867854957132,0.0151479700546437
"Female",12,35,0.0114148610597265,0.00871146619680945,0.0150332336868428
