"Sex","round_label","age","incidence","lb","ub"
"Female",12,31,0.0149820904359123,0.012743621166235,0.0186856658353686
"Female",12,32,0.0145345496723358,0.0119578758844847,0.0180714412360565
"Female",12,33,0.0137442185305106,0.0108620617326311,0.0168717621801543
"Female",12,34,0.0129250588825897,0.00948581605547234,0.0153770101213316
"Female",12,35,0.0119344692001153,0.00850093646911697,0.0143465104753803
"Female",12,36,0.010797205429503,0.00757504723743816,0.0127438028895686
"Female",12,37,0.00964980366048265,0.00650701764680091,0.0116285880350531
"Female",12,38,0.00882277023504298,0.00602238855338185,0.0113406146502797
"Female",12,39,0.00829411078394782,0.00570979222371522,0.0109493750574203
"Female",12,40,0.00770187353840151,0.00529588796910879,0.0105634997328099
"Female",12,41,0.00710886215724012,0.00500132939952516,0.0100289891760643
"Female",12,42,0.00668537843041739,0.00472458436543439,0.00945217097070294
"Female",12,43,0.0062352989966633,0.00453512944413527,0.00883859059353971
"Female",12,44,0.00574263581796199,0.00439073231380694,0.00822142668685425
"Female",12,45,0.00543705516586989,0.00375005796679584,0.0075771031206546
"Female",12,46,0.00526129298301574,0.00308999446478533,0.00688653581354643
"Female",12,47,0.00493707662993264,0.00251826388098394,0.00628576600871102
"Female",12,48,0.00462513474136426,0.00188432735854307,0.00711959687183296
"Female",12,49,0.00445531979995315,0.00130110885742129,0.00819220911683234
"Female",13,15,0.00361236502067942,0.00077724929212894,0.00801514463658312
"Female",13,16,0.00558541372849952,0.00211285696225252,0.00975864868434639
"Female",13,17,0.00741278309674561,0.0037942283100889,0.0112835602194136
"Female",13,18,0.0092641736417004,0.00547413489889455,0.0128108267343052
"Female",13,19,0.0111941802074192,0.00734187063740179,0.0144326678057235
"Female",13,20,0.0128585323709587,0.00912589493530426,0.0159870235576447
"Female",13,21,0.0141848437412658,0.0107353047661726,0.0169943696342492
"Female",13,22,0.0152030478543907,0.0121430583971648,0.0176692737523434
"Female",13,23,0.015876734739726,0.0133511517279255,0.0180781336411506
"Female",13,24,0.016076780642635,0.0137795970246937,0.0183961091238178
"Female",13,25,0.0155895739236204,0.0135050296806765,0.0178632314730031
"Female",13,26,0.0152693135171251,0.0130842906189797,0.017730521237136
"Female",13,27,0.0143168388015301,0.0121322474327062,0.0168168786767687
"Female",13,28,0.0131762465295798,0.0110410074327685,0.0157192587191883
"Female",13,29,0.0127611356742335,0.0106727726302568,0.0150928140360101
"Female",13,30,0.0122908913346134,0.0099393840698007,0.0146838534148899
"Female",13,31,0.0117488562550528,0.00947090741980957,0.0138072011066439
"Female",13,32,0.0113361400077968,0.00900806355948672,0.0130451863985345
"Female",13,33,0.0110004772464035,0.00860635960875805,0.0127032099817649
"Female",13,34,0.0103453640350586,0.00800059291645427,0.0127634352595454
