"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R012","F","inland",23,0,9
"R012","F","inland",24,0,13
"R012","F","inland",37,0,2
"R012","F","inland",28,0,11
"R013","F","inland",21,0,5
"R013","M","inland",20,0,1
"R013","M","inland",19,0,1
"R013","F","inland",17,0,1
"R013","F","inland",30,1,11
"R013","F","inland",20,0,10
"R013","M","inland",44,1,2
"R013","M","inland",36,0,1
"R013","M","inland",49,1,1
"R013","F","inland",16,0,2
"R017","F","inland",25,15,24
"R013","F","inland",19,1,3
"R013","F","inland",28,0,5
"R013","M","inland",30,0,4
"R014","F","inland",34,0,1
"R014","F","inland",26,2,13
"R014","M","inland",25,0,6
"R014","F","inland",32,1,4
"R014","M","inland",16,1,2
"R014","F","inland",39,2,2
"R015","F","fishing",49,3,4
"R015","F","inland",28,7,33
"R017","M","inland",45,2,6
"R014","F","inland",33,1,6
"R012","F","inland",30,2,9
"R017","F","inland",38,5,6
"R014","F","inland",22,1,10
"R015","F","inland",31,6,18
"R015","M","inland",46,2,5
"R015","F","inland",37,4,9
"R015","M","inland",44,1,5
"R016","M","inland",37,2,5
"R016","M","fishing",33,2,6
"R015","M","inland",28,1,12
"R012","M","inland",21,0,1
"R015","M","fishing",32,16,53
"R015","M","fishing",36,3,22
"R015","M","fishing",23,0,15
"R015","M","fishing",39,3,25
"R014","M","inland",31,1,4
"R015S","M","fishing",30,1,21
"R015","F","inland",36,7,17
"R017","M","inland",41,6,7
"R017","F","fishing",37,8,9
"R017","M","inland",34,5,7
"R016","F","inland",25,10,16
"R015S","M","fishing",32,1,12
"R015","M","inland",34,1,14
"R016","F","inland",23,11,18
"R018","F","inland",16,2,4
"R015","F","inland",32,6,23
"R015S","M","fishing",40,0,10
"R018","F","inland",32,9,15
"R016","M","fishing",38,2,5
"R016","F","fishing",21,3,10
"R016","F","fishing",28,6,12
"R016","M","fishing",21,0,4
"R016","F","fishing",42,1,3
"R016","F","fishing",26,5,14
"R014","F","inland",40,0,4
"R014","M","inland",43,0,1
"R014","F","inland",37,1,4
"R016","M","inland",42,2,4
"R016","M","inland",31,0,5
"R014","F","inland",27,1,17
"R014","F","inland",30,2,7
"R014","F","inland",25,2,17
"R014","F","inland",18,0,6
"R014","M","inland",24,0,4
"R014","M","inland",40,0,3
"R014","F","inland",31,2,10
"R014","F","inland",23,0,9
"R014","F","inland",19,0,10
"R015","F","inland",21,6,27
"R015","M","inland",27,0,14
"R015","F","inland",29,6,28
"R015","F","inland",22,3,29
"R015","F","inland",18,1,12
"R015","M","inland",48,1,3
"R015","F","inland",25,5,35
"R015","F","inland",30,8,25
"R015","M","inland",32,2,11
"R015","M","fishing",31,9,32
"R015","M","fishing",41,4,15
"R015","M","fishing",21,0,7
"R015","F","fishing",39,10,25
"R015","F","fishing",28,12,49
"R015","M","fishing",22,3,10
"R015","F","fishing",27,14,57
"R015","F","fishing",25,17,56
"R015","M","fishing",30,12,43
"R015","F","fishing",32,28,63
"R015","F","fishing",29,19,47
"R015","M","fishing",29,6,39
"R015","F","fishing",46,0,4
"R015","F","fishing",23,12,42
"R015","M","fishing",35,6,29
