"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R012","F","inland",37,5,17
"R013","M","inland",32,5,26
"R015","M","inland",35,13,37
"R016","M","inland",37,19,28
"R006","M","inland",38,0,15
"R008","M","inland",40,0,14
"R008","F","inland",28,0,50
"R009","F","inland",29,0,32
"R006","M","inland",24,0,11
"R007","M","inland",25,0,15
"R007","F","inland",25,0,38
"R017","F","inland",33,35,43
"R006","F","inland",28,0,39
"R007","M","inland",38,0,19
"R006","F","inland",31,0,38
"R016","F","inland",29,25,50
"R017","F","inland",30,38,52
"R018","F","inland",32,52,58
"R018","M","inland",33,17,23
"R010","F","inland",22,0,24
"R010","M","inland",32,0,16
"R011","M","inland",33,2,14
"R012","M","inland",35,3,14
"R013","M","inland",37,6,20
"R014","M","inland",38,2,11
"R015","M","inland",40,8,23
"R016","M","inland",42,18,27
"R014","M","inland",27,2,11
"R016","M","inland",31,9,23
"R017","M","inland",32,12,17
"R018","M","inland",34,13,18
"R018","F","inland",39,48,50
"R012","M","inland",27,2,27
"R018","M","inland",37,33,38
"R012","M","inland",37,3,14
"R006","F","inland",34,0,17
"R007","F","inland",35,0,20
"R009","F","inland",37,0,22
"R015","M","inland",32,9,38
"R008","F","inland",35,0,29
"R010","F","inland",37,0,13
"R011","F","inland",39,4,16
"R006","F","inland",17,0,6
"R007","F","inland",18,0,11
"R008","F","inland",18,0,13
"R011","F","inland",23,1,26
"R012","F","inland",24,0,37
"R008","F","inland",21,0,33
"R018","F","inland",37,57,59
"R007","F","inland",41,0,12
"R008","F","inland",42,0,13
"R008","F","inland",19,0,9
"R009","F","inland",20,0,16
"R007","M","inland",26,0,14
"R008","M","inland",27,0,17
"R010","M","inland",29,0,22
"R011","M","inland",31,0,17
"R012","M","inland",33,1,11
"R013","M","inland",34,3,22
"R014","M","inland",36,2,20
"R015","M","inland",38,6,32
"R013","M","inland",26,0,12
"R006","F","inland",21,0,22
"R009","M","inland",40,0,11
"R013","M","inland",47,4,9
"R012","F","inland",30,4,32
"R006","F","inland",19,0,12
"R011","F","inland",25,0,33
"R012","F","inland",27,5,41
"R013","F","inland",29,8,50
"R015","F","inland",32,27,68
"R016","F","inland",34,48,59
"R017","F","inland",36,71,81
"R007","F","inland",23,0,25
"R011","F","inland",21,0,21
"R012","F","inland",22,0,27
"R007","M","inland",33,0,10
"R016","F","inland",31,35,51
"R011","F","inland",28,3,36
"R007","F","inland",31,0,25
"R008","M","inland",32,0,20
"R009","M","inland",33,0,11
"R010","M","inland",34,0,12
"R011","M","inland",37,2,16
"R007","F","inland",19,0,14
"R009","M","inland",28,0,11
"R009","F","inland",38,0,14
"R008","M","inland",24,0,11
"R018","F","fishing",30,57,63
"R014","F","inland",32,7,35
"R008","F","inland",16,0,7
"R009","F","inland",17,0,8
"R018","F","fishing",31,41,43
"R012","F","inland",15,0,2
"R011","M","inland",21,0,3
"R009","F","inland",23,0,19
"R010","F","inland",30,0,37
"R008","M","inland",22,0,5
"R012","M","inland",28,0,11
"R013","M","inland",30,1,13
"R017","F","inland",31,44,56
"R008","F","inland",32,0,30
"R008","M","inland",23,0,14
"R009","M","inland",25,0,9
"R010","M","inland",26,0,12
"R013","F","inland",28,1,31
"R008","M","inland",43,0,7
"R013","F","inland",22,0,27
"R008","F","inland",22,0,35
"R008","M","inland",21,0,6
"R009","M","inland",22,0,8
"R010","M","inland",23,0,10
"R009","M","inland",46,0,5
"R010","M","inland",47,0,4
"R018","F","inland",33,46,54
"R009","F","inland",24,0,17
"R014","F","inland",22,2,21
"R015","F","inland",24,4,36
"R016","F","inland",26,22,36
"R010","F","inland",41,0,13
"R011","F","inland",42,2,16
"R012","F","inland",44,6,16
"R013","F","inland",46,5,16
"R014","F","inland",47,10,20
"R015","F","inland",49,10,21
"R013","F","inland",24,2,29
"R015","F","inland",27,15,51
"R011","F","inland",26,5,37
"R010","F","inland",20,0,16
"R015","F","inland",22,6,40
"R016","F","inland",24,18,36
"R009","M","inland",26,0,9
"R010","M","inland",31,0,20
"R012","M","inland",34,1,15
"R015","F","inland",20,5,21
"R011","M","inland",39,3,13
"R012","M","inland",41,4,10
"R013","M","inland",43,4,10
"R015","M","inland",46,6,17
"R010","M","inland",24,0,11
"R018","F","inland",35,50,56
"R010","F","inland",21,0,21
"R014","F","inland",27,5,49
"R015","M","fishing",35,6,31
"R015S","M","fishing",36,2,21
"R014","F","inland",23,3,26
"R017","F","inland",28,44,60
"R012","F","inland",18,0,5
"R013","F","inland",20,0,17
"R017","F","inland",27,32,48
"R017","F","fishing",26,33,47
"R018","F","fishing",28,42,49
"R010","F","inland",19,0,12
"R010","M","inland",42,0,12
"R010","F","inland",16,0,2
"R011","F","inland",17,0,5
"R011","F","inland",27,0,24
"R013","F","inland",30,7,39
"R016","F","inland",35,44,61
"R013","F","inland",21,0,11
"R018","F","fishing",27,35,43
"R018","F","inland",27,36,45
"R014","M","inland",23,0,7
"R014","F","inland",29,4,33
"R011","M","inland",29,1,17
"R011","F","inland",40,1,10
"R012","F","inland",41,6,14
"R013","F","inland",43,4,9
"R014","F","inland",44,11,17
"R015","F","inland",46,11,14
"R016","F","inland",48,13,16
"R011","F","inland",20,0,13
"R012","F","inland",21,0,24
"R013","F","inland",23,1,25
"R017","F","inland",29,50,64
"R014","F","inland",31,19,54
"R012","F","inland",45,0,6
"R014","F","inland",48,2,12
"R011","F","inland",19,0,20
"R012","F","inland",20,2,19
"R014","F","inland",24,2,31
"R015","F","inland",25,11,60
"R016","F","inland",27,33,54
"R015","F","fishing",22,7,24
"R015S","F","fishing",23,13,40
"R016","F","inland",49,13,18
"R012","M","inland",22,0,7
"R013","M","inland",24,0,7
"R014","M","inland",26,0,10
"R015","M","inland",27,1,27
"R016","M","inland",29,7,21
"R017","M","inland",31,16,27
"R018","M","inland",32,20,31
"R011","F","inland",37,4,16
"R012","F","inland",42,5,21
"R014","F","inland",45,6,15
"R015","F","inland",47,12,23
"R015","M","inland",39,13,23
"R018","M","inland",44,20,23
"R017","F","inland",23,21,34
"R018","F","inland",24,31,45
"R012","F","inland",19,0,7
"R015","F","inland",23,8,45
"R016","F","inland",25,24,38
"R014","F","inland",25,6,39
"R013","M","inland",35,3,12
"R016","M","inland",40,15,28
"R017","M","inland",42,19,28
"R012","F","inland",25,1,24
"R015","F","inland",26,16,53
"R016","F","inland",28,30,50
"R017","M","inland",27,7,19
"R018","F","inland",28,27,34
"R018","F","inland",40,50,51
"R017","F","inland",37,38,48
"R013","F","inland",45,6,18
"R018","F","inland",38,59,64
"R013","M","inland",28,3,17
"R014","M","inland",29,1,18
"R015","M","inland",31,6,24
"R016","M","inland",33,12,22
"R017","M","inland",35,22,32
