"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R013","F","inland",46,16,71
"R015","F","inland",49,20,68
"R016","M","inland",45,20,112
"R017","M","inland",46,20,117
"R018","M","inland",48,16,99
"R006","F","inland",28,39,176
"R008","F","inland",30,39,168
"R009","F","inland",31,23,131
"R011","F","inland",34,25,130
"R012","F","inland",36,18,111
"R014","F","inland",39,21,109
"R017","F","inland",44,29,144
"R018","F","inland",46,35,135
"R010","F","inland",42,8,72
"R011","F","inland",43,8,68
"R012","F","inland",45,6,69
"R014","F","inland",48,12,65
"R017","F","inland",47,25,90
"R016","F","inland",37,36,196
"R017","F","inland",39,45,218
"R018","F","inland",41,54,203
"R006","F","inland",29,38,159
"R008","F","inland",32,30,127
"R011","F","inland",36,17,105
"R012","F","inland",33,33,160
"R006","F","inland",23,42,246
"R006","F","inland",44,5,52
"R007","F","inland",45,2,47
"R008","F","inland",46,3,51
"R009","F","inland",47,6,46
"R010","F","inland",48,3,45
"R015","M","fishing",41,16,35
"R015S","M","fishing",42,22,42
"R016","M","fishing",43,19,42
"R017","M","fishing",45,20,35
"R018","M","fishing",46,24,45
"R015","M","fishing",39,26,70
"R015S","M","fishing",39,22,53
"R017","M","fishing",42,21,46
"R011","M","inland",28,21,132
"R009","F","inland",43,8,71
"R010","F","inland",44,10,67
"R006","M","inland",44,5,37
"R011","M","inland",26,20,151
"R012","M","inland",28,11,129
"R013","M","inland",30,13,117
"R014","M","inland",31,23,150
"R015","M","inland",33,27,186
"R016","M","inland",35,25,165
"R017","M","inland",37,20,149
"R006","M","inland",34,19,99
"R007","M","inland",35,23,99
"R008","M","inland",36,26,105
"R009","M","inland",37,13,66
"R010","M","inland",38,13,68
"R012","M","inland",41,10,55
"R013","M","inland",43,10,59
"R015","M","inland",46,17,73
"R006","M","inland",29,22,129
"R011","M","inland",35,15,92
"R013","M","inland",38,16,84
"R014","M","inland",40,19,90
"R015","M","inland",41,20,99
"R007","F","inland",48,4,69
"R008","F","inland",49,5,62
"R013","M","inland",34,22,128
"R014","M","inland",35,27,133
"R015","M","inland",37,33,175
"R008","M","inland",24,11,180
"R009","M","inland",25,9,136
"R009","M","inland",38,17,68
"R010","M","inland",39,13,58
"R011","M","inland",41,15,60
"R012","M","inland",42,10,71
"R013","M","inland",44,15,56
"R015","M","inland",47,16,79
"R016","M","inland",49,16,72
"R006","M","inland",38,15,63
"R013","M","inland",47,9,45
"R007","M","inland",47,5,40
"R008","M","inland",48,4,43
"R009","M","inland",49,3,28
"R008","F","inland",36,24,110
"R010","M","inland",43,7,37
"R011","M","inland",44,10,39
"R014","M","inland",45,12,67
"R011","M","inland",40,11,75
"R007","M","inland",27,14,162
"R008","M","inland",28,20,168
"R009","M","inland",30,18,131
"R010","M","inland",31,20,130
"R012","M","inland",34,15,111
"R007","F","inland",28,47,191
