"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
17,"fishing","F",20,71,12,5,0,1,0,6,114,7,0.583333333333333,0.416666666666667
18,"fishing","F",20,86,14,6,0,1,0,6,115,8,0.571428571428571,0.428571428571429
15,"inland","F",20,2,2,2,0,0,0,6,116,0,0,1
15.5,"inland","F",20,0,0,0,0,0,0,6,117,0,NA,NA
16,"inland","F",20,297,21,14,0,0,0,6,118,7,0.333333333333333,0.666666666666667
17,"inland","F",20,311,21,13,0,0,0,6,119,8,0.380952380952381,0.619047619047619
18,"inland","F",20,299,20,7,0,0,0,6,120,13,0.65,0.35
15,"fishing","M",21,7,7,7,0,1,1,7,121,0,0,1
15.5,"fishing","M",21,1,1,1,0,1,1,7,122,0,0,1
16,"fishing","M",21,56,7,7,0,1,1,7,123,0,0,1
17,"fishing","M",21,65,1,1,0,1,1,7,124,0,0,1
18,"fishing","M",21,59,5,4,0,1,1,7,125,1,0.2,0.8
15,"inland","M",21,0,0,0,0,0,1,7,126,0,NA,NA
15.5,"inland","M",21,0,0,0,0,0,1,7,127,0,NA,NA
16,"inland","M",21,221,11,8,0,0,1,7,128,3,0.272727272727273,0.727272727272727
17,"inland","M",21,225,3,3,0,0,1,7,129,0,0,1
18,"inland","M",21,249,5,5,0,0,1,7,130,0,0,1
15,"fishing","F",21,23,23,21,0,1,0,7,131,2,0.0869565217391304,0.91304347826087
15.5,"fishing","F",21,1,1,1,0,1,0,7,132,0,0,1
16,"fishing","F",21,77,26,19,0,1,0,7,133,7,0.269230769230769,0.730769230769231
17,"fishing","F",21,87,30,17,0,1,0,7,134,13,0.433333333333333,0.566666666666667
18,"fishing","F",21,74,13,2,0,1,0,7,135,11,0.846153846153846,0.153846153846154
15,"inland","F",21,8,8,4,0,0,0,7,136,4,0.5,0.5
15.5,"inland","F",21,0,0,0,0,0,0,7,137,0,NA,NA
16,"inland","F",21,291,24,14,0,0,0,7,138,10,0.416666666666667,0.583333333333333
17,"inland","F",21,271,27,13,0,0,0,7,139,14,0.518518518518518,0.481481481481482
18,"inland","F",21,294,20,14,0,0,0,7,140,6,0.3,0.7
15,"fishing","M",22,10,10,8,0,1,1,8,141,2,0.2,0.8
15.5,"fishing","M",22,0,0,0,0,1,1,8,142,0,NA,NA
16,"fishing","M",22,78,13,13,0,1,1,8,143,0,0,1
17,"fishing","M",22,70,7,7,0,1,1,8,144,0,0,1
18,"fishing","M",22,70,6,4,0,1,1,8,145,2,0.333333333333333,0.666666666666667
15,"inland","M",22,2,2,2,0,0,1,8,146,0,0,1
15.5,"inland","M",22,0,0,0,0,0,1,8,147,0,NA,NA
16,"inland","M",22,211,9,8,0,0,1,8,148,1,0.111111111111111,0.888888888888889
17,"inland","M",22,235,6,5,0,0,1,8,149,1,0.166666666666667,0.833333333333333
18,"inland","M",22,231,3,1,0,0,1,8,150,2,0.666666666666667,0.333333333333333
15,"fishing","F",22,23,23,16,0,1,0,8,151,7,0.304347826086957,0.695652173913043
15.5,"fishing","F",22,0,0,0,0,1,0,8,152,0,NA,NA
16,"fishing","F",22,72,26,17,0,1,0,8,153,9,0.346153846153846,0.653846153846154
17,"fishing","F",22,98,39,18,0,1,0,8,154,21,0.538461538461538,0.461538461538462
18,"fishing","F",22,97,31,8,0,1,0,8,155,23,0.741935483870968,0.258064516129032
15,"inland","F",22,5,5,4,0,0,0,8,156,1,0.2,0.8
15.5,"inland","F",22,0,0,0,0,0,0,8,157,0,NA,NA
16,"inland","F",22,296,32,20,0,0,0,8,158,12,0.375,0.625
17,"inland","F",22,303,37,19,0,0,0,8,159,18,0.486486486486487,0.513513513513513
18,"inland","F",22,242,15,9,0,0,0,8,160,6,0.4,0.6
15,"fishing","M",23,15,15,15,0,1,1,9,161,0,0,1
15.5,"fishing","M",23,0,0,0,0,1,1,9,162,0,NA,NA
16,"fishing","M",23,64,11,9,0,1,1,9,163,2,0.181818181818182,0.818181818181818
17,"fishing","M",23,64,8,6,0,1,1,9,164,2,0.25,0.75
18,"fishing","M",23,88,7,6,0,1,1,9,165,1,0.142857142857143,0.857142857142857
15,"inland","M",23,2,2,1,0,0,1,9,166,1,0.5,0.5
15.5,"inland","M",23,0,0,0,0,0,1,9,167,0,NA,NA
16,"inland","M",23,184,6,6,0,0,1,9,168,0,0,1
17,"inland","M",23,217,14,10,0,0,1,9,169,4,0.285714285714286,0.714285714285714
18,"inland","M",23,206,9,6,0,0,1,9,170,3,0.333333333333333,0.666666666666667
15,"fishing","F",23,42,42,30,0,1,0,9,171,12,0.285714285714286,0.714285714285714
15.5,"fishing","F",23,0,0,0,0,1,0,9,172,0,NA,NA
16,"fishing","F",23,81,26,14,0,1,0,9,173,12,0.461538461538462,0.538461538461538
17,"fishing","F",23,99,39,13,0,1,0,9,174,26,0.666666666666667,0.333333333333333
18,"fishing","F",23,93,29,9,0,1,0,9,175,20,0.689655172413793,0.310344827586207
15,"inland","F",23,6,6,6,0,0,0,9,176,0,0,1
15.5,"inland","F",23,0,0,0,0,0,0,9,177,0,NA,NA
16,"inland","F",23,285,43,18,0,0,0,9,178,25,0.581395348837209,0.418604651162791
17,"inland","F",23,317,34,18,0,0,0,9,179,16,0.470588235294118,0.529411764705882
18,"inland","F",23,278,26,13,0,0,0,9,180,13,0.5,0.5
15,"fishing","M",24,26,26,23,0,1,1,10,181,3,0.115384615384615,0.884615384615385
15.5,"fishing","M",24,0,0,0,0,1,1,10,182,0,NA,NA
16,"fishing","M",24,77,19,16,0,1,1,10,183,3,0.157894736842105,0.842105263157895
17,"fishing","M",24,79,15,9,0,1,1,10,184,6,0.4,0.6
18,"fishing","M",24,81,4,3,0,1,1,10,185,1,0.25,0.75
15,"inland","M",24,2,2,2,0,0,1,10,186,0,0,1
15.5,"inland","M",24,0,0,0,0,0,1,10,187,0,NA,NA
16,"inland","M",24,205,11,7,0,0,1,10,188,4,0.363636363636364,0.636363636363636
17,"inland","M",24,208,11,9,0,0,1,10,189,2,0.181818181818182,0.818181818181818
18,"inland","M",24,206,5,3,0,0,1,10,190,2,0.4,0.6
15,"fishing","F",24,24,24,20,0,1,0,10,191,4,0.166666666666667,0.833333333333333
15.5,"fishing","F",24,1,1,1,0,1,0,10,192,0,0,1
16,"fishing","F",24,78,40,19,0,1,0,10,193,21,0.525,0.475
17,"fishing","F",24,80,29,13,0,1,0,10,194,16,0.551724137931034,0.448275862068966
18,"fishing","F",24,86,31,5,0,1,0,10,195,26,0.838709677419355,0.161290322580645
15,"inland","F",24,6,6,6,0,0,0,10,196,0,0,1
15.5,"inland","F",24,0,0,0,0,0,0,10,197,0,NA,NA
16,"inland","F",24,265,36,19,0,0,0,10,198,17,0.472222222222222,0.527777777777778
17,"inland","F",24,276,43,11,0,0,0,10,199,32,0.744186046511628,0.255813953488372
18,"inland","F",24,303,45,19,0,0,0,10,200,26,0.577777777777778,0.422222222222222
15,"fishing","M",25,39,39,34,0,1,1,11,201,5,0.128205128205128,0.871794871794872
15.5,"fishing","M",25,1,1,1,0,1,1,11,202,0,0,1
16,"fishing","M",25,66,13,11,0,1,1,11,203,2,0.153846153846154,0.846153846153846
17,"fishing","M",25,88,17,12,0,1,1,11,204,5,0.294117647058824,0.705882352941176
18,"fishing","M",25,98,23,15,0,1,1,11,205,8,0.347826086956522,0.652173913043478
15,"inland","M",25,5,5,5,0,0,1,11,206,0,0,1
15.5,"inland","M",25,0,0,0,0,0,1,11,207,0,NA,NA
16,"inland","M",25,205,16,11,0,0,1,11,208,5,0.3125,0.6875
17,"inland","M",25,232,9,5,0,0,1,11,209,4,0.444444444444444,0.555555555555556
18,"inland","M",25,198,12,10,0,0,1,11,210,2,0.166666666666667,0.833333333333333
15,"fishing","F",25,56,56,39,0,1,0,11,211,17,0.303571428571429,0.696428571428571
15.5,"fishing","F",25,1,1,1,0,1,0,11,212,0,0,1
16,"fishing","F",25,79,28,18,0,1,0,11,213,10,0.357142857142857,0.642857142857143
17,"fishing","F",25,90,37,12,0,1,0,11,214,25,0.675675675675676,0.324324324324324
18,"fishing","F",25,93,38,12,0,1,0,11,215,26,0.684210526315789,0.315789473684211
15,"inland","F",25,17,17,15,0,0,0,11,216,2,0.117647058823529,0.882352941176471
15.5,"inland","F",25,0,0,0,0,0,0,11,217,0,NA,NA
16,"inland","F",25,252,38,16,0,0,0,11,218,22,0.578947368421053,0.421052631578947
17,"inland","F",25,312,53,17,0,0,0,11,219,36,0.679245283018868,0.320754716981132
18,"inland","F",25,253,31,12,0,0,0,11,220,19,0.612903225806452,0.387096774193548
15,"fishing","M",26,25,25,23,0,1,1,12,221,2,0.08,0.92
15.5,"fishing","M",26,1,1,1,0,1,1,12,222,0,0,1
16,"fishing","M",26,111,42,32,0,1,1,12,223,10,0.238095238095238,0.761904761904762
17,"fishing","M",26,69,19,11,0,1,1,12,224,8,0.421052631578947,0.578947368421053
18,"fishing","M",26,88,16,7,0,1,1,12,225,9,0.5625,0.4375
15,"inland","M",26,3,3,2,0,0,1,12,226,1,0.333333333333333,0.666666666666667
15.5,"inland","M",26,0,0,0,0,0,1,12,227,0,NA,NA
16,"inland","M",26,184,14,11,0,0,1,12,228,3,0.214285714285714,0.785714285714286
17,"inland","M",26,221,16,9,0,0,1,12,229,7,0.4375,0.5625
18,"inland","M",26,192,12,10,0,0,1,12,230,2,0.166666666666667,0.833333333333333
15,"fishing","F",26,43,43,36,0,1,0,12,231,7,0.162790697674419,0.837209302325581
15.5,"fishing","F",26,1,1,1,0,1,0,12,232,0,0,1
16,"fishing","F",26,95,42,21,0,1,0,12,233,21,0.5,0.5
17,"fishing","F",26,109,47,15,0,1,0,12,234,32,0.680851063829787,0.319148936170213
18,"fishing","F",26,89,40,8,0,1,0,12,235,32,0.8,0.2
15,"inland","F",26,6,6,6,0,0,0,12,236,0,0,1
15.5,"inland","F",26,0,0,0,0,0,0,12,237,0,NA,NA
16,"inland","F",26,267,36,17,0,0,0,12,238,19,0.527777777777778,0.472222222222222
17,"inland","F",26,269,47,17,0,0,0,12,239,30,0.638297872340426,0.361702127659574
18,"inland","F",26,256,34,8,0,0,0,12,240,26,0.764705882352941,0.235294117647059
15,"fishing","M",27,30,30,24,0,1,1,13,241,6,0.2,0.8
15.5,"fishing","M",27,1,1,1,0,1,1,13,242,0,0,1
16,"fishing","M",27,110,39,32,0,1,1,13,243,7,0.179487179487179,0.82051282051282
17,"fishing","M",27,77,25,14,0,1,1,13,244,11,0.44,0.56
18,"fishing","M",27,102,31,14,0,1,1,13,245,17,0.548387096774194,0.451612903225806
15,"inland","M",27,5,5,5,0,0,1,13,246,0,0,1
15.5,"inland","M",27,0,0,0,0,0,1,13,247,0,NA,NA
16,"inland","M",27,203,17,13,0,0,1,13,248,4,0.235294117647059,0.764705882352941
17,"inland","M",27,198,19,13,0,0,1,13,249,6,0.315789473684211,0.684210526315789
18,"inland","M",27,189,7,3,0,0,1,13,250,4,0.571428571428571,0.428571428571429
15,"fishing","F",27,57,57,43,0,1,0,13,251,14,0.245614035087719,0.754385964912281
15.5,"fishing","F",27,2,2,2,0,1,0,13,252,0,0,1
16,"fishing","F",27,86,44,26,0,1,0,13,253,18,0.409090909090909,0.590909090909091
17,"fishing","F",27,81,36,9,0,1,0,13,254,27,0.75,0.25
18,"fishing","F",27,101,43,11,0,1,0,13,255,32,0.744186046511628,0.255813953488372
15,"inland","F",27,9,9,6,0,0,0,13,256,3,0.333333333333333,0.666666666666667
15.5,"inland","F",27,0,0,0,0,0,0,13,257,0,NA,NA
16,"inland","F",27,264,54,24,0,0,0,13,258,30,0.555555555555556,0.444444444444444
17,"inland","F",27,258,48,17,0,0,0,13,259,31,0.645833333333333,0.354166666666667
18,"inland","F",27,269,45,12,0,0,0,13,260,33,0.733333333333333,0.266666666666667
15,"fishing","M",28,40,40,33,0,1,1,14,261,7,0.175,0.825
15.5,"fishing","M",28,0,0,0,0,1,1,14,262,0,NA,NA
16,"fishing","M",28,75,29,22,0,1,1,14,263,7,0.241379310344828,0.758620689655172
17,"fishing","M",28,134,46,24,0,1,1,14,264,22,0.478260869565217,0.521739130434783
18,"fishing","M",28,97,26,6,0,1,1,14,265,20,0.769230769230769,0.230769230769231
15,"inland","M",28,3,3,3,0,0,1,14,266,0,0,1
15.5,"inland","M",28,0,0,0,0,0,1,14,267,0,NA,NA
16,"inland","M",28,200,22,15,0,0,1,14,268,7,0.318181818181818,0.681818181818182
17,"inland","M",28,186,23,13,0,0,1,14,269,10,0.434782608695652,0.565217391304348
18,"inland","M",28,192,13,7,0,0,1,14,270,6,0.461538461538462,0.538461538461538
15,"fishing","F",28,51,51,38,0,1,0,14,271,13,0.254901960784314,0.745098039215686
15.5,"fishing","F",28,0,0,0,0,1,0,14,272,0,NA,NA
16,"fishing","F",28,88,42,20,0,1,0,14,273,22,0.523809523809524,0.476190476190476
17,"fishing","F",28,94,47,12,0,1,0,14,274,35,0.74468085106383,0.25531914893617
18,"fishing","F",28,99,49,12,0,1,0,14,275,37,0.755102040816326,0.244897959183674
15,"inland","F",28,10,10,8,0,0,0,14,276,2,0.2,0.8
15.5,"inland","F",28,0,0,0,0,0,0,14,277,0,NA,NA
16,"inland","F",28,267,50,24,0,0,0,14,278,26,0.52,0.48
17,"inland","F",28,282,60,20,0,0,0,14,279,40,0.666666666666667,0.333333333333333
18,"inland","F",28,256,34,8,0,0,0,14,280,26,0.764705882352941,0.235294117647059
15,"fishing","M",29,38,38,33,0,1,1,15,281,5,0.131578947368421,0.868421052631579
15.5,"fishing","M",29,1,1,1,0,1,1,15,282,0,0,1
16,"fishing","M",29,101,29,21,0,1,1,15,283,8,0.275862068965517,0.724137931034483
17,"fishing","M",29,100,34,15,0,1,1,15,284,19,0.558823529411765,0.441176470588235
18,"fishing","M",29,86,33,12,0,1,1,15,285,21,0.636363636363636,0.363636363636364
15,"inland","M",29,9,9,8,0,0,1,15,286,1,0.111111111111111,0.888888888888889
15.5,"inland","M",29,0,0,0,0,0,1,15,287,0,NA,NA
16,"inland","M",29,185,21,15,0,0,1,15,288,6,0.285714285714286,0.714285714285714
17,"inland","M",29,197,22,11,0,0,1,15,289,11,0.5,0.5
18,"inland","M",29,191,18,9,0,0,1,15,290,9,0.5,0.5
15,"fishing","F",29,51,51,31,0,1,0,15,291,20,0.392156862745098,0.607843137254902
15.5,"fishing","F",29,1,1,1,0,1,0,15,292,0,0,1
16,"fishing","F",29,90,45,25,0,1,0,15,293,20,0.444444444444444,0.555555555555556
17,"fishing","F",29,109,51,19,0,1,0,15,294,32,0.627450980392157,0.372549019607843
18,"fishing","F",29,94,39,11,0,1,0,15,295,28,0.717948717948718,0.282051282051282
15,"inland","F",29,10,10,7,0,0,0,15,296,3,0.3,0.7
15.5,"inland","F",29,0,0,0,0,0,0,15,297,0,NA,NA
16,"inland","F",29,283,50,30,0,0,0,15,298,20,0.4,0.6
17,"inland","F",29,307,64,21,0,0,0,15,299,43,0.671875,0.328125
18,"inland","F",29,242,52,17,0,0,0,15,300,35,0.673076923076923,0.326923076923077
15,"fishing","M",30,43,43,31,0,1,1,16,301,12,0.27906976744186,0.720930232558139
15.5,"fishing","M",30,2,2,2,0,1,1,16,302,0,0,1
16,"fishing","M",30,91,35,26,0,1,1,16,303,9,0.257142857142857,0.742857142857143
17,"fishing","M",30,75,32,16,0,1,1,16,304,16,0.5,0.5
18,"fishing","M",30,148,54,15,0,1,1,16,305,39,0.722222222222222,0.277777777777778
15,"inland","M",30,5,5,2,0,0,1,16,306,3,0.6,0.4
15.5,"inland","M",30,1,1,1,0,0,1,16,307,0,0,1
16,"inland","M",30,192,20,15,0,0,1,16,308,5,0.25,0.75
17,"inland","M",30,194,26,12,0,0,1,16,309,14,0.538461538461538,0.461538461538462
18,"inland","M",30,182,22,6,0,0,1,16,310,16,0.727272727272727,0.272727272727273
