"ROUND","COMM","SEX","AGEYRS","PREVALENCE_SHARE_SEX_AND_AGE_CL","PREVALENCE_SHARE_SEX_AND_AGE_CU","PREVALENCE_SHARE_SEX_AND_AGE_M","PREVALENCE_SHARE_SEX_CL","PREVALENCE_SHARE_SEX_CU","PREVALENCE_SHARE_SEX_M"
"10","inland","M",32,0.0164151516996201,0.0242173522364371,0.0198499612743131,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",33,0.0156881633965513,0.0230871273189293,0.0189940936193757,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",34,0.0146972641804641,0.0214741731228503,0.0178770839717759,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",35,0.0137071251319152,0.0202518896819158,0.0169602486965436,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",36,0.0130813211118212,0.0198845043751566,0.0166930446029181,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",37,0.0129499347322679,0.0197798968340053,0.0165834563834433,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",38,0.0128976462974723,0.019307712281205,0.0161230212871803,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",39,0.0126450852106726,0.0188190140789266,0.0155106223194411,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",40,0.0116839235544861,0.0180686531389437,0.0144662776015326,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",41,0.010379361995838,0.0167831564623638,0.013063492670461,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",42,0.00907449898954255,0.0149772018533093,0.0116052704940421,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",43,0.00771321941045226,0.0128406017799477,0.00996725626349949,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",44,0.00630630983623103,0.0107332496072252,0.00830393632656865,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",45,0.00483113983842209,0.00887982750381996,0.00677106140088435,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",46,0.00359313132657648,0.00736912044642212,0.00543448016391159,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",47,0.00268027232352802,0.00624783576022825,0.00433102028926802,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",48,0.00192342741845668,0.00552873606596604,0.00347284625669549,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",49,0.00132709139637845,0.00515340773538135,0.0028355895785001,0.365393647585083,0.426093013165314,0.395946442798192
