"AGEYRS","SEX","COMM","ROUND","variable","CL","CU","M"
15,"F","inland","R017","PROP_SUPPRESSED",0.472206575349776,0.782446284099039,0.616376012668269
15,"F","inland","R017","PROP_SUPPRESSION_GIVEN_ART",0.659197499151654,1,0.885684893599699
15,"F","inland","R017","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.558082223474611,0.895206762555136,0.742140947415248
15,"F","inland","R018","PROP_ART_COVERAGE",0.624300468473357,0.896970030321885,0.765279439096334
15,"F","inland","R018","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.769135247136021,0.962817211518152,0.867775824847987
15,"F","inland","R018","PROP_DIAGNOSED",0.768945811874823,0.975202606307393,0.881033894583571
15,"F","inland","R018","PROP_SUPPRESSED",0.506076086417442,0.841739282464346,0.680468541727481
15,"F","inland","R018","PROP_SUPPRESSION_GIVEN_ART",0.665327957380613,1,0.907676511634335
15,"F","inland","R018","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.581600711272528,0.917480870457974,0.780220118951538
15,"M","fishing","R015","PROP_ART_COVERAGE",0.0720916847453243,0.872502623522984,0.236713176294865
15,"M","fishing","R015","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.192484230491941,1,0.485269216875073
15,"M","fishing","R015","PROP_DIAGNOSED",0.361854545612856,1,0.461896896206053
15,"M","fishing","R015","PROP_SUPPRESSED",0.0576858425759298,0.280885001546788,0.139462969402596
15,"M","fishing","R015","PROP_SUPPRESSION_GIVEN_ART",0.145050035779257,1,0.621311759991695
15,"M","fishing","R015","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.10480319572722,0.500125107688852,0.277281942652081
15,"M","fishing","R016","PROP_ART_COVERAGE",0.0476376079689804,0.576980153393719,0.182862148810639
15,"M","fishing","R016","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.145074624135149,0.730951735461885,0.413332479808017
15,"M","fishing","R016","PROP_DIAGNOSED",0.32206550118163,0.827182959596129,0.439426911841902
15,"M","fishing","R016","PROP_SUPPRESSED",0.0166035553796371,0.484369247594299,0.109277711367634
15,"M","fishing","R016","PROP_SUPPRESSION_GIVEN_ART",0.0870154228947008,1,0.795646554083086
15,"M","fishing","R016","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.036466172280698,0.662866220195189,0.257154091448957
15,"M","fishing","R017","PROP_ART_COVERAGE",0.12784354423445,0.579765268649004,0.348536748215863
15,"M","fishing","R017","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.346148243540841,0.792039366125067,0.617194989327854
15,"M","fishing","R017","PROP_DIAGNOSED",0.354152645038778,0.783851048683172,0.561228005151034
15,"M","fishing","R017","PROP_SUPPRESSED",0.0477845392672767,0.503294959102768,0.242114077027643
15,"M","fishing","R017","PROP_SUPPRESSION_GIVEN_ART",0.159765258571208,1,0.80948706235312
15,"M","fishing","R017","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.0920678139631033,0.729059385184113,0.46294695385597
15,"M","fishing","R018","PROP_ART_COVERAGE",0.232167610861369,0.774462680374459,0.498405993344121
15,"M","fishing","R018","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.406005496845468,0.951143012745448,0.664123479518497
15,"M","fishing","R018","PROP_DIAGNOSED",0.527948163216984,0.906315033686654,0.747189192137019
15,"M","fishing","R018","PROP_SUPPRESSED",0.113379450256852,0.715924322812051,0.392983538514295
15,"M","fishing","R018","PROP_SUPPRESSION_GIVEN_ART",0.272773584801279,1,0.853000754921859
15,"M","fishing","R018","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.169865870218034,0.912329758779608,0.531219269195691
15,"M","inland","R010","PROP_ART_COVERAGE",0.000447146726517881,0.147878680976436,0.0113829365246306
15,"M","inland","R010","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.0022787407151387,0.465255730698781,0.055964405752087
15,"M","inland","R010","PROP_DIAGNOSED",0.196085210775231,0.329447551411422,0.201578369713236
15,"M","inland","R010","PROP_SUPPRESSED",0.0912261585878946,0.195768519237836,0.0989806277174655
15,"M","inland","R010","PROP_SUPPRESSION_GIVEN_ART",1.32384547833974,204.018554058954,8.69552670352747
15,"M","inland","R010","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.464657653717988,0.63349136329147,0.485514611628582
15,"M","inland","R011","PROP_ART_COVERAGE",0.000496873041042555,0.145779099332452,0.012155073016038
15,"M","inland","R011","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.00193468220644447,0.399866203777821,0.0461036543545798
15,"M","inland","R011","PROP_DIAGNOSED",0.256726267576582,0.380028794185121,0.261805065480752
15,"M","inland","R011","PROP_SUPPRESSED",0.0912614190654667,0.194279724981194,0.0995281426840998
15,"M","inland","R011","PROP_SUPPRESSION_GIVEN_ART",1.33269990962311,183.675461213351,8.18819800077253
15,"M","inland","R011","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.355147680666747,0.541775051691066,0.376588515222923
15,"M","inland","R012","PROP_ART_COVERAGE",0.0336499283797063,0.383812463531554,0.113841025933235
15,"M","inland","R012","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.0843032906283605,0.628575628704716,0.25151952339209
15,"M","inland","R012","PROP_DIAGNOSED",0.390871732404099,0.697136916679669,0.445793453869383
15,"M","inland","R012","PROP_SUPPRESSED",0.114769949214701,0.363067019595102,0.171632727479931
15,"M","inland","R012","PROP_SUPPRESSION_GIVEN_ART",0.945949025768917,3.41070598788537,1.50765267937618
