"ROUND","COMM","SEX","AGEYRS","UNSUPPRESSED_SHARE_AGE_BY_SEX_CL","UNSUPPRESSED_SHARE_AGE_BY_SEX_CU","UNSUPPRESSED_SHARE_AGE_BY_SEX_M","UNSUPPRESSED_SHARE_AGE_AND_SEX_CL","UNSUPPRESSED_SHARE_AGE_AND_SEX_CU","UNSUPPRESSED_SHARE_AGE_AND_SEX_M","UNSUPPRESSED_SHARE_SEX_CL","UNSUPPRESSED_SHARE_SEX_CU","UNSUPPRESSED_SHARE_SEX_M"
"11","inland","F",30,0.0453295670411067,0.0547516101009504,0.0501335230181447,0.0264563056967615,0.0325173604482302,0.0295488376515066,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",31,0.0420156072468006,0.0510450463782605,0.046612378784487,0.0245698447002477,0.03033726926147,0.0274739890918289,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",32,0.0381510785886594,0.0467733882894382,0.0425377075338701,0.0223251998499522,0.0277770546816032,0.0250854684638534,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",33,0.0339339878360549,0.0419804506188951,0.0379568667620878,0.0198037628917697,0.0249398974262627,0.0223710036811095,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",34,0.029403121591632,0.0367906612932202,0.0330581371423123,0.0171872605559566,0.0218064138141102,0.0194767279601158,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",35,0.0253693577747393,0.0322474727163305,0.0287310335121298,0.0148450639850742,0.019085325131154,0.0169191478404709,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",36,0.0221150266840464,0.0285605457923534,0.0252033626069792,0.0129235158653005,0.016900489640522,0.0148512600862518,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",37,0.0193362447130623,0.0254322973996582,0.0222050569826803,0.0113110233761429,0.0150252063404107,0.0130916704797491,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",38,0.017071140203198,0.0228491413760457,0.0197412807757335,0.010000024469238,0.0135097988545514,0.0116432980608418,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",39,0.0152013099375332,0.0206474088292505,0.0176637321054251,0.00891317015253994,0.012174890087603,0.0104247846965059,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",40,0.0137014884051352,0.0189045605655205,0.0160318668116574,0.00804945747611273,0.0111557785274498,0.00944850910253753,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",41,0.012475412312479,0.0174676634321755,0.0147093777630244,0.00733671673152385,0.0103169268803018,0.00866605471311997,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",42,0.011577339181084,0.0165284327233307,0.0137582497460859,0.00680600089933021,0.00973582751404935,0.00810775111207456,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",43,0.010864663745098,0.0157451745214584,0.0129998102433093,0.00637203671162974,0.00927658232705846,0.00765813916701783,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",44,0.00981455732043763,0.0145019104955736,0.0119174156272612,0.00576947129819082,0.0085722161971931,0.00702820784161471,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",45,0.00871578861388287,0.0132594447250245,0.0107957307357035,0.00512798752215899,0.00782404997268986,0.00636155211664481,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",46,0.00751951697834899,0.0119770452500521,0.00960516507156733,0.00444788293039853,0.0070671609456088,0.0056581675662646,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",47,0.00632661079921188,0.01084986504537,0.0084095625848539,0.00373480841721881,0.00638547556492522,0.0049506723032108,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",48,0.00508229540037711,0.00980260765927472,0.0072276166936178,0.00299006475076039,0.00578032974312934,0.00426183654957961,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","F",49,0.00387209270683924,0.00889965541578425,0.0061201057931623,0.00227027800398704,0.00522904461284665,0.00360678142936502,0.557956533075514,0.620302592536543,0.589499064349149
"11","inland","M",15,0.000111896994151502,0.0069969661766722,0.00114639989185226,4.59475128437601e-05,0.00287462729740002,0.000469607214034178,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",16,0.000220452242354421,0.00615188919491319,0.00147469003171475,8.98913258160091e-05,0.0025382192940359,0.000603308978250711,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",17,0.000437755719413741,0.00613163881490854,0.00201677395146403,0.000177074831856077,0.00255460342816322,0.00082805960221668,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",18,0.000868844352384482,0.00699640657419047,0.00288441147147652,0.000352751176764791,0.0029132889271583,0.00118723652960451,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",19,0.00167428471667578,0.0085503388429547,0.00425856312125692,0.00068252096802211,0.00354164030371209,0.00174383617267141,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",20,0.00314914679872172,0.0109927944743358,0.00637805029840169,0.00127424958503735,0.00454584767235763,0.00262090876988744,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",21,0.00557981723957802,0.0145856059464842,0.00955514450551424,0.00226556044050927,0.00605052077518365,0.00391932419423044,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",22,0.00950502806572004,0.0198498568691344,0.0142076764126047,0.00383859221175138,0.00823387332337491,0.00582639722756071,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",23,0.0149356809146438,0.0269056684508393,0.0204852103925386,0.00603784332885132,0.011255494638164,0.00839462983840203,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",24,0.02203510080863,0.0360836299676932,0.0284240577378997,0.00889407141149695,0.0150943761122205,0.0116667601734739,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",25,0.03044868587173,0.0467622585984371,0.0381187668132916,0.0122874207016338,0.0195917357496382,0.0156296001222848,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",26,0.0384854629803357,0.0563916243779274,0.04719153500936,0.0155734566395989,0.0236304212345929,0.0193502371609051,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",27,0.0458505990381962,0.0646019293543125,0.0549520343114055,0.0184736135102642,0.0270325013798435,0.0225284418334087,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",28,0.0513831215509866,0.06985293574331,0.0603361067017184,0.0206342091792834,0.0292800506558522,0.0247356282675488,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",29,0.0525042491912221,0.0699551981055268,0.0610656888043385,0.0210718707715072,0.0293394544270479,0.0250247725969609,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",30,0.0509141383654389,0.0676992737322814,0.0592936353748018,0.0204452826632243,0.0284648010266471,0.0243219250827997,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",31,0.0476325396560646,0.0640036794072883,0.0559783877628753,0.0191305662707936,0.0268720357434253,0.0229730305466321,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",32,0.0440851622921999,0.0598376728116374,0.0519723764570744,0.0177413042043097,0.0250714210044067,0.0213171439949712,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",33,0.0406121288588024,0.0558198265805296,0.0480121854869746,0.0163961710163228,0.0232754959041877,0.0197041897901278,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",34,0.0370135763824646,0.0514784586859798,0.0439185517332681,0.0148850849581706,0.0214396949130522,0.0180214367152357,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",35,0.0341758359634314,0.0481096978839512,0.0408313742038609,0.0138366514024729,0.0200048176455917,0.0167470680143467,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",36,0.0331775715054715,0.0465991901915923,0.0395413280758522,0.0134401503512687,0.0193403103817719,0.0162154014506208,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",37,0.0325569792285726,0.0455694829333814,0.0387447826501814,0.0131546264419199,0.0189170338730782,0.015899796004793,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",38,0.0312064190917692,0.0439427255522326,0.0372764268813221,0.0126599273420512,0.0182114298446695,0.0152912943965036,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",39,0.029605902363055,0.0421817331432242,0.0355807767991207,0.0120601691264869,0.0174422772208931,0.0145840102512164,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",40,0.0272909917502377,0.0394470545503833,0.0330417110217231,0.0111448074663145,0.016358077381557,0.0135697389270694,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",41,0.0246557061792528,0.0362942910515892,0.0300784651833178,0.0100593103730112,0.0149944933386738,0.0123634040938609,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",42,0.0223209906319664,0.033565583730512,0.0274942872511098,0.00913309405146689,0.0138475025132586,0.0112858651484996,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",43,0.019784096132853,0.030487314845284,0.0246785903464975,0.00807432234306273,0.0125617901356964,0.0101184021612748,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",44,0.0166903675922755,0.0268125715652182,0.0212286003076891,0.00680591565400429,0.0110305842570741,0.0087249725359495,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",45,0.0133921022470318,0.0225777337553113,0.0176057391397501,0.00547947522827112,0.00930335746697617,0.00722960544629727,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",46,0.010186698575249,0.0183577171548787,0.0139492179850711,0.00417310204595014,0.00761223439019557,0.00571915007548096,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",47,0.00722305266091002,0.0146314973650041,0.010564440981986,0.0029557976276555,0.00605903993186608,0.00433521377422508,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",48,0.0045850908289685,0.0118064633119801,0.00771388511033504,0.00188515691631971,0.00489259610075947,0.00316366469387781,0.379697407463457,0.442043466924486,0.410500935650851
"11","inland","M",49,0.00265313571291099,0.0097813734848021,0.00546705560804736,0.001086024829911,0.00401923906361123,0.00224174576712435,0.379697407463457,0.442043466924486,0.410500935650851
"12","inland","F",15,0.00564017437091464,0.022793424461902,0.0128163410455424,0.00335828165753367,0.0138969249937215,0.00771447250451146,0.570149639623294,0.632919306288151,0.601565916309328
"12","inland","F",16,0.00742827145976513,0.0223755866362107,0.0143120102431383,0.00444855803520683,0.0136184564909487,0.00860090845976527,0.570149639623294,0.632919306288151,0.601565916309328
"12","inland","F",17,0.00959811422103153,0.0236609433189808,0.0165126089650938,0.00571583664026295,0.0143748795359064,0.00992636762469718,0.570149639623294,0.632919306288151,0.601565916309328
"12","inland","F",18,0.0125741463446875,0.0255290423095768,0.0195474798183289,0.00748460528098336,0.0155262779333415,0.0117506598957905,0.570149639623294,0.632919306288151,0.601565916309328
