"ROUND","COMM","SEX","AGE_GROUP","PROP_UNSUPPRESSED_AGE_GROUP_CL","PROP_UNSUPPRESSED_AGE_GROUP_CU","PROP_UNSUPPRESSED_AGE_GROUP_M"
"17","fishing","M","15-24",0.0267044865093427,0.0583186569524653,0.0400158662200096
"17","fishing","M","25-34",0.159711429556238,0.207049096509223,0.18200622190461
"17","fishing","M","35-49",0.15938479192088,0.217404644156989,0.187948708007795
"17","inland","F","15-24",0.01808935148555,0.0264326683181995,0.0219769626670889
"17","inland","F","25-34",0.0481670783380427,0.0620790916026593,0.0549772266227604
"17","inland","F","35-49",0.0268118622516267,0.0388812072855657,0.0324562726171145
"17","inland","M","15-24",0.00468929866193699,0.00971889288225048,0.00685289821375662
"17","inland","M","25-34",0.0432495904251006,0.0610297779033677,0.0516632069118341
"17","inland","M","35-49",0.045667393703899,0.0647165832910326,0.0547679461862044
"18","fishing","F","15-24",0.0481452947731097,0.0804416991650504,0.0623587204087406
"18","fishing","F","25-34",0.0768648401649402,0.106756574322605,0.091116451921333
"18","fishing","F","35-49",0.0410396567565243,0.0733905185824908,0.0557571945455124
"18","fishing","M","15-24",0.0169706617153644,0.0390509098264387,0.0262222439032064
"18","fishing","M","25-34",0.0927121781839664,0.129932355129704,0.110143149466479
"18","fishing","M","35-49",0.0871740059408372,0.127189730350748,0.1059044283428
"18","inland","F","15-24",0.0126048049486096,0.0196595979257626,0.01589384086306
"18","inland","F","25-34",0.0371117020345608,0.0504215549818085,0.0433739953340986
"18","inland","F","35-49",0.0166104668094263,0.0273811635895265,0.0215116652836629
"18","inland","M","15-24",0.00617763283128366,0.0127150991541154,0.00901014186988685
"18","inland","M","25-34",0.03353593815196,0.0490117575725865,0.0408715102986845
"18","inland","M","35-49",0.031200780412528,0.0501847847955877,0.0399759831589437
