"ROUND","COMM","SEX","AGE_GROUP","PREVALENCE_AGE_GROUP_CL","PREVALENCE_AGE_GROUP_CU","PREVALENCE_AGE_GROUP_M"
"16","fishing","M","25-34",0.329735952409455,0.389920758811527,0.358923462573816
"16","fishing","M","35-49",0.378753473356964,0.447256956618649,0.412870568085818
"16","inland","F","15-24",0.045203775918231,0.0595350395592197,0.0519733975714662
"16","inland","F","25-34",0.173124892190191,0.201277484097417,0.18681340654994
"16","inland","F","35-49",0.227293463265271,0.260280348485492,0.243444999764173
"16","inland","M","15-24",0.0127021177331493,0.0217358066384668,0.0166699267748454
"16","inland","M","25-34",0.0993086803981154,0.125995021481578,0.112269658920781
"16","inland","M","35-49",0.164461959505698,0.196850839559946,0.180093039950413
"17","fishing","F","15-24",0.201244960496352,0.263999936144953,0.231486302164277
"17","fishing","F","25-34",0.454808480614332,0.516597464790057,0.486190679297651
"17","fishing","F","35-49",0.496580112327766,0.572114730244959,0.534641687197599
"17","fishing","M","15-24",0.0400488542285353,0.0782144089569751,0.0569267870380498
"17","fishing","M","25-34",0.312377061002646,0.37061134167175,0.340652129099765
"17","fishing","M","35-49",0.4039621936508,0.468970251123335,0.436402538418378
"17","inland","F","15-24",0.0476039852298252,0.062280342241097,0.0545936710016804
"17","inland","F","25-34",0.177680389928994,0.205264690880687,0.19117139306066
"17","inland","F","35-49",0.231475307336958,0.263138605502825,0.247274548222278
"17","inland","M","15-24",0.00821203639956224,0.0152101756396166,0.0113741075073424
"17","inland","M","25-34",0.0938205288598241,0.119474098944888,0.106112517165443
"17","inland","M","35-49",0.15858815044241,0.189456316355927,0.173711408726205
"18","fishing","F","15-24",0.163178800023973,0.218482665329111,0.189272338522441
"18","fishing","F","25-34",0.443169375757841,0.500927032666632,0.472314384027318
"18","fishing","F","35-49",0.514062457926894,0.582568015013857,0.548444983327487
"18","fishing","M","15-24",0.0315561993954522,0.0611832884049955,0.0447669414241135
"18","fishing","M","25-34",0.293310491826786,0.347467342659247,0.320085757158348
"18","fishing","M","35-49",0.423952310576772,0.483625687187971,0.453928302912164
"18","inland","F","15-24",0.0348576437503963,0.0477899300136044,0.041014024016487
"18","inland","F","25-34",0.161156442458867,0.187805986922902,0.174157562763282
"18","inland","F","35-49",0.2269727365563,0.256739043457028,0.241658738409738
"18","inland","M","15-24",0.00952669848681954,0.0175940149474322,0.0131812117075967
"18","inland","M","25-34",0.0801574785639509,0.104016666679477,0.0918228355936618
"18","inland","M","35-49",0.151133937259585,0.180756557160563,0.16558237623698
